#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00010200 100 1	2	0	name       0           1.713794738	0.122779	 
0x00010201 100 1	2	1	name       1           0.111142806	0.143431	 
0x00010202 100 1	2	2	name       2           2.111029916	0.117776	 
0x00010203 100 1	2	3	name       3           2.27795354	0.143293	 
0x00010204 100 1	2	4	name       4           1.687334558	0.141516	 
0x00010205 100 1	2	5	name       5           1.644102077	0.131076	 
0x00010206 100 1	2	6	name       6           1.606259623	0.126787	 
0x00010207 100 1	2	7	name       7           1.673234793	0.145618	 
0x00010208 100 1	2	8	name       8           3.509499803	0.105466	 
0x00010209 100 1	2	9	name	     9         1.12112622	0.201298	 
0x0001020a 100 1	2	10	name    10             3.555640533	0.102723	 
0x0001020b 100 1	2	11	name    11             3.588390044	0.151067	 
0x0001020c 100 1	2	12	name    12             2.913974912	0.116959	 
0x0001020d 100 1	2	13	name    13             2.524148677	0.113855	 
0x0001020e 100 1	2	14	name    14             3.206951928	0.103073	 
0x0001020f 100 1	2	15	name    15             0	0.000000		 
                                                               				
0x00010300 100 1	3	0	name      16           0.555861836	0.367178	 
0x00010301 100 1	3	1	name      17           0.153308672	0.361766	 
0x00010302 100 1	3	2	name      18           0.156281672	0.378365	 
0x00010303 100 1	3	3	name      19           0.148665018	0.375629	 
0x00010304 100 1	3	4	name      20           -0.107583508	0.166095	 
0x00010305 100 1	3	5	name      21           -0.099077427	0.149563	 
0x00010306 100 1	3	6	name      22           -0.249664468	0.135875	 
0x00010307 100 1	3	7	name      23           0	0.000000		 
0x00010308 100 1	3	8	name      24           -0.192112094	0.165700	 
0x00010309 100 1	3	9	name      25           0	0.000000		 
0x0001030a 100 1	3	10	name    26             -0.09375608	0.162375	 
0x0001030b 100 1	3	11	name    27             -0.278318466	0.157915	 
0x0001030c 100 1	3	12	name    28             -0.365482794	0.173149	 
0x0001030d 100 1	3	13	name    29             -0.169188543	0.171688	 
0x0001030e 100 1	3	14	name    30             -0.154118702	0.169719	 
0x0001030f 100 1	3	15	name    31             -0.041728738	0.167724	 
                                                               				
0x00010400 100 1	4	0	name      32           0.088997284	0.174736	 
0x00010401 100 1	4	1	name      33           -0.224861648	0.172041	 
0x00010402 100 1	4	2	name      34           -0.157893324	0.172474	 
0x00010403 100 1	4	3	name      35           0.137371358	0.172815	 
0x00010404 100 1	4	4	name      36           -0.408033442	0.162891	 
0x00010405 100 1	4	5	name      37           -0.77329023	0.166244	 
0x00010406 100 1	4	6	name      38           -0.407077942	0.164516	 
0x00010407 100 1	4	7	name      39           -0.488456767	0.170426	 
0x00010408 100 1	4	8	name      40           0.05506833	0.162410	 
0x00010409 100 1	4	9	name      41           0.016417216	0.165256	 
0x0001040a 100 1	4	10	name    42             -0.242508722	0.162247	 
0x0001040b 100 1	4	11	name    43             -0.128971018	0.169259	 
0x0001040c 100 1	4	12	name    44             0.121469908	0.165869	 
0x0001040d 100 1	4	13	name    45             -0.177388326	0.167876	 
0x0001040e 100 1	4	14	name    46             -0.175926925	0.171234	 
0x0001040f 100 1	4	15	name    47             0.1303192	0.164161	 
                                                               				
0x00010500 100 1	5	0	name      48           -0.026307458	0.170618	 
0x00010501 100 1	5	1	name      49           0.069286318	0.164711	 
0x00010502 100 1	5	2	name      50           0.204016838	0.173518	 
0x00010503 100 1	5	3	name      51           0.370331654	0.169050	 
0x00010504 100 1	5	4	name      52           0.074857103	0.167791	 
0x00010505 100 1	5	5	name      53           0.121834122	0.171052	 
0x00010506 100 1	5	6	name      54           0.008741926	0.163304	 
0x00010507 100 1	5	7	name      55           0.050133212	0.161861	 
0x00010508 100 1	5	8	name      56           0.114261655	0.139091	 
0x00010509 100 1	5	9	name      57           0.157803152	0.163201	 
0x0001050a 100 1	5	10	name    58             0.043363408	0.168777	 
0x0001050b 100 1	5	11	name    59             0.089988396	0.180490	 
0x0001050c 100 1	5	12	name    60             -0.047272868	0.170480	 
0x0001050d 100 1	5	13	name    61             0.055047776	0.167592	 
0x0001050e 100 1	5	14	name    62             -0.031613074	0.143680	 
0x0001050f 100 1	5	15	name    63             -0.036203068	0.163042	 
                                                               				
0x00010600 100 1	6	0	name      64           0.230822849	0.364812	 
0x00010601 100 1	6	1	name      65           0.036903135	0.405889	 
0x00010602 100 1	6	2	name      66           0.09956055	0.392902	 
0x00010603 100 1	6	3	name      67           0.322934142	0.387510	 
0x00010604 100 1	6	4	name      68           0.103340081	0.164141	 
0x00010605 100 1	6	5	name      69           0.186179049	0.181560	 
0x00010606 100 1	6	6	name      70           -0.143880443	0.179446	 
